Location,Population,% ofworld,Date
World,8232000000,100.0,2025-06-13
India,1417492000,17.3,2025-07-01
China,1408280000,17.2,2024-12-31
United States,340110988,4.2,2024-07-01
Indonesia,284438782,3.5,2025-06-30
Pakistan,241499431,2.9,2023-03-01
Nigeria,223800000,2.7,2023-07-01
Brazil,212583750,2.6,2024-07-01
Bangladesh,169828911,2.1,2022-06-14
Russia,146028325,1.8,2025-01-01
Mexico,130417144,1.6,2025-03-31
Japan,123360000,1.5,2025-06-01
Philippines,114123600,1.4,2025-07-01
Democratic Republic of the Congo,112832000,1.4,2025-07-01
Ethiopia,111652998,1.4,2025-07-01
Egypt,107271260,1.3,2025-01-01
Vietnam,101343800,1.2,2024-12-31
Iran,85961000,1.0,2024-03-20
Turkey,85664944,1.0,2024-12-31
Germany,83577140,1.0,2024-12-31
France,68668000,0.8,2025-07-01
United Kingdom,68265209,0.8,2023-07-01
Tanzania,68153004,0.8,2025-07-01
Thailand,65870610,0.8,2025-06-30
South Africa,63100945,0.8,2025-06-30
Italy,58919837,0.7,2025-05-31
Kenya,53330978,0.7,2025-07-01
Colombia,52695952,0.6,2024-01-01
Sudan,51662000,0.6,2025-07-01
Myanmar,51316756,0.6,2024-10-15
South Korea,51164582,0.6,2025-06-30
Spain,49315949,0.6,2025-07-01
Algeria,47400000,0.6,2025-01-01
Argentina,47067641,0.6,2024-07-01
Iraq,46118793,0.6,2025-02-24
Uganda,45905417,0.6,2024-05-10
Afghanistan,43844000,0.5,2025-07-01
Canada,41548787,0.5,2025-04-01
Uzbekistan,37860975,0.5,2025-07-01
Poland,37412000,0.5,2025-05-31
Morocco,36828330,0.4,2024-09-01
Angola,36170961,0.4,2025-07-01
Saudi Arabia,35300280,0.4,2024-07-01
Peru,34350244,0.4,2025-07-01
Malaysia,34231700,0.4,2025-06-30
Mozambique,34090466,0.4,2025-07-01
Ghana,33742380,0.4,2025-07-01
Ukraine,32862000,0.4,2025-04-01
Yemen,32684503,0.4,2023-07-01
Madagascar,31727042,0.4,2025-07-01
Nepal,29911840,0.4,
Cameroon,29442327,0.4,2025-07-01
Ivory Coast,29389150,0.4,2021-12-14
Venezuela,28517000,0.3,2025-07-01
Australia,27400013,0.3,2024-12-31
Niger,26312034,0.3,2024-07-01
North Korea,25950000,0.3,2024-07-01
Syria,25620000,0.3,2025-07-01
Burkina Faso,24070553,0.3,2025-07-01
Taiwan,23337936,0.3,2025-07-31
Mali,22395489,0.3,2022-06-15
Sri Lanka,21763170,0.3,2024-12-19
Malawi,20734262,0.3,2025-07-01
Kazakhstan,20387811,0.2,2025-07-01
Chile,20206953,0.2,2025-06-30
Zambia,19693423,0.2,2022-09-08
Somalia,19655000,0.2,2025-07-01
Chad,19340757,0.2,2025-07-01
Romania,19064409,0.2,2024-01-01
Senegal,18126390,0.2,2023-05-15
Netherlands,18080943,0.2,2025-06-30
Guatemala,18079810,0.2,2025-07-01
Cambodia,17577760,0.2,2025-07-01
Zimbabwe,17073087,0.2,2025-07-01
Ecuador,16938986,0.2,2022-10-01
South Sudan,15786898,0.2,2025-07-01
Guinea,14363931,0.2,2025-07-01
Rwanda,14104969,0.2,2025-07-01
Benin,13224860,0.2,2025-07-01
Burundi,12332788,0.2,2024-08-16
Tunisia,11972169,0.1,2024-11-06
Haiti,11867032,0.1,2024-07-01
Belgium,11825551,0.1,2025-01-01
Papua New Guinea,11781559,0.1,2021-07-01
Jordan,11734000,0.1,2024-12-31
Bolivia,11312620,0.1,2024-03-23
Czech Republic,10876875,0.1,2025-03-31
Dominican Republic,10771504,0.1,2022-11-10
Portugal,10749635,0.1,2024-12-31
United Arab Emirates,10678556,0.1,2023-12-31
Sweden,10591058,0.1,2025-05-31
